Date,Title,URL,Has Alignment,Turkey,North Macedonia,Montenegro,Serbia,Albania,Ukraine,Moldova,Bosnia and Herzegovina,Georgia,Iceland,Liechtenstein,Norway,Armenia,Azerbaijan,Andorra,Monaco,San Marino,UK
2025-10-10,EU Statement – UN General Assembly 3rd Committee: Interactive Dialogue on discrimination and violence against women and girls,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-discrimination-and-violence_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-09,Remarks by Ambassador Lambrinidis at the UN@80: Bridging Generations – Youth and Legacy in Multilateralism event,https://www.eeas.europa.eu/delegations/un-new-york/remarks-ambassador-lambrinidis-un80-bridging-generations-%E2%80%93-youth-and-legacy-multilateralism-event_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-10,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue on Older Persons,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-older-persons-1_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-10,EU Statement – UN General Assembly 3rd Committee: Interactive dialogue with UN DESA,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-interactive-dialogue-un-desa-0_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-08,EU Statement – UN General Assembly 1st Committee: General Statement,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-1st-committee-general-statement-0_en,True,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False
2025-10-07,UN@80: Bridging Generations - Youth and Legacy in Multilateralism,https://www.eeas.europa.eu/delegations/un-new-york/un80-bridging-generations-youth-and-legacy-multilateralism_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-06,"EU Statement – UN Security Council: Open debate on Women, Peace and Security",https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-security-council-open-debate-women-peace-and-security-0_en,True,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False
2025-10-06,EU Statement – UN General Assembly 6th Committee: Measures to eliminate international terrorism,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-6th-committee-measures-eliminate-international-terrorism-1_en,True,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,True,True,False
2025-10-03,EU Statement – UN Peacebuilding Commission: Meeting on the Central African Republic,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-peacebuilding-commission-meeting-central-african-republic_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-10-03,EU Statement – UN General Assembly 3rd Committee: General Debate,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-3rd-committee-general-debate_en,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,True,True,True,False
2025-10-01,EU Statement – UN General Assembly: Use of the veto – item 64: Special Report of the Security Council Debate pursuant to resolution 76/262,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-use-veto-%E2%80%93-item-64-special-report-security-council-debate_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-09-25,EU Statement – UN General Assembly: High-level Plenary Meeting on the 30th anniversary of the World Programme of Action for Youth,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-high-level-plenary-meeting-30th-anniversary-world-programme_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-09-30,EU Statement – UN General Assembly: High-level meeting on the human rights situation of Rohingya Muslims and other minorities in Myanmar,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-general-assembly-high-level-meeting-human-rights-situation-rohingya-muslims-and_en,True,False,True,True,False,True,True,True,True,False,True,False,False,False,False,True,True,True,False
2025-09-30,EU Statement – UN Peacebuilding Committee: Post-Transition Peace Efforts in Chad,https://www.eeas.europa.eu/delegations/un-new-york/eu-statement-%E2%80%93-un-peacebuilding-committee-post-transition-peace-efforts-chad_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-09-16,Shaping a Water Resilient World with Water Security for All,https://www.eeas.europa.eu/delegations/un-new-york/shaping-water-resilient-world-water-security-all_en,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
